text,label
venezuelan vote early referendum chavez rule reuters reuters venezuelan turned early large number sunday vote historic referendum either remove left wing president hugo chavez office give new mandate govern next two year,0
skoreans clash police iraq troop dispatch reuters reuters south korean police used water cannon central seoul sunday disperse least protester urging government reverse controversial decision send troop iraq,0
palestinian israeli jail start hunger strike reuters reuters thousand palestinian prisoner israeli jail began hunger strike better condition sunday israel security minister said didnt care starved death,0
seven georgian soldier wounded south ossetia ceasefire violated afp afp sporadic gunfire shelling took place overnight disputed georgian region south ossetia violation fragile ceasefire wounding seven georgian serviceman,0
rwandan troop arrive darfur ap ap dozen rwandan soldier flew sudan troubled darfur region sunday first foreign armed force deployed area since arab militiaman began rampage black african farmer killing thousand,0
rwanda troop airlifted start au mission darfur reuters reuters rwandan troop airlifted sunday sudan darfur first foreign force mandated protect observer monitoring cease fire sudanese government rebel troubled western region,0
bomb india independence parade kill ap ap bomb exploded independence day parade india remote northeast sunday killing least people including schoolchildren rocket attack celebration school separatist region kashmir injured official said,0
australian fm visit north korea talk nuclear crisis afp afp australia foreign minister pay rare visit north korea week talk nuclear programme creating stir warning north korean missile would able hit sydney,0
kerry campaign helping fla recovery ap ap democratic presidential candidate john kerry plan visit florida aftermath hurricane charley he concerned campaign entourage could distract recovery effort said saturday,0
edward call change drug plan ap ap democratic vice presidential candidate john edward called change prescription drug program praised running mate john kerrys military government service outdoor campaign rally saturday,0
kerry leading bush key swing state afp afp although poll show u presidential race virtual dead heat democrat john kerry appears gaining edge george w bush among key state could decide outcome,0
democratic senator urge energy reform ap ap congress must pas legislation protect nation electricity grid want avoid repeat devastating outage rolled across eight state last year sen maria cantwell wash said saturday,0
missouri attorney general sue epa ap ap missouri attorney general sued federal environmental agency friday saying behind testing state air lead required law,0
mortar mark opening iraqi political conference baghdad reuters insurgent fired mortar meeting iraqi leader met pick interim national assembly sunday killing least two people grim reminder country tortured path toward democracy,0
japan minister pay homage shrine war dead tokyo reuters three japanese minister paid homage controversial shrine war dead sunday anniversary japan world war ii surrender move drew anger asian neighbor,0
najaf battle crucial test allawi clash u troop sadr militiaman escalated thursday u surrounded najaf possible siege,0
ch opponent sunday venezuelan decide whether cut short president term due end,0
eye athens china stress frugal olympics amid reevaluation official week pushed completion date venue back,0
tense iraq debate new assembly talk setting iraqi assembly continue despite fresh violence baghdad shia stronghold najaf,0
